# first,last,id,gender,joindate,latitude,longitude,city,state,country,checkin count
LYLE,MURRAY,9182,M,2009-12-28,37.7915,-122.4018,San Francisco,California,US,50
MICHELLE,TOLMAN,9253,F,5/12/10,,,,,,
SANDY,FITCH,9281,F,8/23/09,,,,,,
JACK,MORIN,9523,M,2010-10-11,28.0096,-82.6967,Safety Harbor,Florida,US,25
ELIZABETH,COPE,9886,F,2010-03-11,33.8473,-118.1115,Lakewood,California,US,40
BRADLEY,HOLMES,9939,M,2010-08-10,35.9328,-86.8788,Franklin,Tennessee,US,50
THERESA,CASSELL,10321,F,2010-03-02,32.7466,-117.1636,San Diego,California,US,49
ELVIN,JACKSON,10364,M,2010-05-08,37.7621,-122.3971,San Francisco,California,US,1
CHARLIE,PHILLIPS,10470,M,2010-05-23,41.9209,-87.7043,Chicago,Illinois,US,55
MILTON,BRUCE,10580,M,2010-01-13,26.3799,-80.0975,Boca Raton,Florida,US,178
TERRY,MEDINA,10808,M,2010-03-28,29.6489,-82.325,Gainesville,Florida,US,54
MARY,EDWARDS,10825,F,2010-03-11,30.2713,-97.7426,Austin,Texas,US,54
GLORIA,MCCORMACK,10845,F,2010-04-01,28.5399,-81.3727,Orlando,Florida,US,106
EMMA,WILLIAMS,10850,F,2009-11-15,28.7577,-81.3508,Lake Mary,Florida,US,75
SHELLEY,NEWLAND,10854,F,2010-05-08,40.7425,-89.6279,Peoria,Illinois,US,2
MAE,PRICE,10861,F,2010-02-20,28.5456,-81.3782,Orlando,Florida,US,90
VERA,LAWSON,11216,F,2010-03-10,30.2713,-97.7426,Austin,Texas,US,179
LISA,HINKLE,11316,F,7/16/09,,,,,,
STEPHEN,MORENO,11483,M,2010-08-27,34.0079,-118.2582,Los Angeles,California,US,400
NICOLE,SNOW,11719,F,2010-06-09,28.5419,-81.3791,Orlando,Florida,US,25
ANGELA,GRADY,11729,F,2010-03-26,33.7561,-84.4255,Atlanta,Georgia,US,25
LENA,MCCOWAN,12004,F,9/30/11,,,,,,
JOSEPHINE,MILLER,12069,F,2010-04-02,30.2713,-97.7426,Austin,Texas,US,25
CORNELL,KROHN,12127,M,2010-10-11,30.3437,-97.7316,Austin,Texas,US,25
LOUIS,ADAMS,12591,M,2010-10-02,33.5647,-111.8931,Scottsdale,Arizona,US,75
JEANNIE,CORNETT,13288,F,2010-03-10,41.8858,-87.6181,Chicago,Illinois,US,13
FLORENCE,WILKERSON,13471,F,2010-03-09,37.4443,-122.1497,Palo Alto,California,US,47
WILLIAM,ROGERS,14604,M,8/7/11,,,,,,
ROBERT,HILL,14626,M,2010-09-05,59.8585,17.6454,Uppsala,Uppsala,SE,314
PAUL,FOSTER,14664,M,4/23/11,,,,,,
MICHAEL,BIRDSONG,14878,M,2010-03-10,-26.13,28.0686,Johannesburg,,ZA,490
CHAD,ROCHA,15668,M,2010-09-20,26.6644,-80.1741,West Palm Beach,Florida,US,25
PATRICK,PETERSON,15718,M,2009-12-26,39.9671,-83.0044,Columbus,Ohio,US,253
MARY,RAMSEY,16057,F,2009-12-28,-29.7167,31.0667,Umhlanga Rocks,,ZA,98
DARLENE,WEBB,16569,F,2010-05-30,-26.1333,27.9667,Blackheath,,ZA,225
CHARLES,REYES,16640,M,2010-10-09,59.3333,18.05,Johanneshov,Stockholm,SE,25
WILLIAM,HUNTER,16963,M,2010-08-18,55.6059,13.0007,Malmö,,SE,175
BARBARA,BELLIVEAU,17124,F,2010-02-11,30.4061,-87.2917,Pensacola,Florida,US,8
ELLIOT,HARNESS,17741,M,2010-08-06,28.6625,-81.4117,Altamonte Springs,Florida,US,75
KENNETH,CALDWELL,18546,M,2010-06-27,38.9898,-76.5501,Annapolis,Maryland,US,9
MATTHEW,ATCHISON,19019,M,2010-09-01,30.3223,-97.739,Austin,Texas,US,162
CLARENCE,SOMMERS,20057,M,11/5/09,,,,,,
ROBERT,PARKER,20147,M,2010-01-20,-26.05,27.9667,Sandton,,ZA,175
JANICE,CALLAHAN,20301,F,2010-07-09,-33.9,18.6333,Bellville,,ZA,25
TAYLOR,QUALLS,20569,M,2010-09-10,59.3333,18.05,Johanneshov,Stockholm,SE,50
DOROTHY,BARNETT,21050,F,2010-10-04,28.5754,-81.3955,Orlando,Florida,US,25
ROXANA,LAWSON,21594,F,2/27/09,,,,,,
PERRY,SHULTZ,21986,M,2010-09-27,26.1219,-80.1436,Fort Lauderdale,Florida,US,50
ARLENE,SHAW,22124,F,2010-05-15,28.0231,-81.7234,Winter Haven,Florida,US,50
JOSEPHINE,PENNEBAKER,22222,F,9/18/09,,,,,,
MARIA,BURKS,22414,F,2010-05-25,37.3179,-121.9349,San Jose,California,US,100
JOSE,DAVIS,22640,M,2010-03-15,37.7864,-122.3892,San Francisco,California,US,75
GERARDO,MITCHELL,22756,M,2009-09-24,40.7484,-73.9967,New York City,New York,US,22
WALTER,ROMERO,22821,M,6/14/09,,,,,,
TABETHA,ROBERTS,23208,F,2010-07-23,45.5496,-122.6743,Portland,Oregon,US,25
SONIA,BREWER,23253,F,2010-08-05,45.5967,-122.5942,Portland,Oregon,US,25
LOUIS,OR,23409,M,2010-07-10,-25.8008,28.2956,Garsfontein,,ZA,75
MARY,SEGARRA,23452,F,11/24/09,,,,,,
JANET,THOMAS,23692,F,2010-05-07,59.3059,17.9872,Hägersten,Stockholm,SE,75
JOHN,HIATT,23822,M,8/13/09,,,,,,
FRANK,KING,23869,M,8/26/09,,,,,,
RONALD,JENKINS,24098,M,2009-11-16,30.2713,-97.7426,Austin,Texas,US,80
CURTIS,ISAACS,24277,M,2010-07-13,43.5987,7.0043,Mougins,Provence-Alpes-Côte d'Azur,FR,5
KENNETH,GRAY,24650,M,2009-11-13,30.1802,-97.6667,Austin,Texas,US,34
DONNA,BUNTING,25397,F,12/9/11,,,,,,
MARGIE,SCHULTZ,25402,F,2010-02-24,28.6659,-81.4027,Altamonte Springs,Florida,US,150
KATHY,BROWN,25403,F,2010-06-15,28.5399,-81.3727,Orlando,Florida,US,25
GEORGE,BERRY,25419,M,2010-01-15,28.5419,-81.3791,Orlando,Florida,US,14
PATTI,SALMONS,25425,F,2010-02-20,28.5419,-81.3791,Orlando,Florida,US,7
ALFRED,WATSON,25426,M,2010-03-23,28.5419,-81.3791,Orlando,Florida,US,69
SANTOS,VAZQUEZ,25430,M,6/15/11,,,,,,
ROSE,MILLER,25437,F,2010-06-19,28.6625,-81.4117,Altamonte Springs,Florida,US,25
EMANUEL,CHRISTENSEN,25439,M,4/30/09,,,,,,
GREGORY,BENNETT,25456,M,9/23/09,,,,,,
ROBERT,TRUSS,25465,M,2010-03-15,28.5163,-81.4516,Orlando,Florida,US,70
MICHAEL,STINES,25467,M,6/1/11,,,,,,
BARBARA,MORENA,25588,F,8/13/10,,,,,,
NATHAN,QUINN,25756,M,2010-03-16,42.3647,-71.1042,Cambridge,Massachusetts,US,1
RONALD,SMITH,25941,M,12/21/11,,,,,,
MAGEN,REID,26285,F,2009-12-23,30.0042,-95.1728,Humble,Texas,US,175
SADIE,MARIS,26458,F,10/13/09,,,,,,
CYNTHIA,HOBBS,26656,F,9/4/09,,,,,,
JOHN,SMITH,27655,M,2010-03-31,40.0326,-82.9103,Columbus,Ohio,US,50
GLADYS,MALDONADO,27663,F,5/6/10,,,,,,
GEORGE,HUNT,27939,M,2010-05-25,28.6625,-81.4117,Altamonte Springs,Florida,US,25
AARON,SMITH,28587,M,2009-12-18,-33.9277,18.3999,Cape Town,,ZA,319
DORA,NAIL,28602,F,2010-01-12,40.9045,-73.8073,Pelham,New York,US,159
LAWRENCE,SHORT,28977,M,6/28/11,,,,,,
LEANN,STALKER,29021,F,2010-05-13,39.9478,-74.9036,Mount Laurel,New Jersey,US,109
KENNETH,SAYRE,29030,M,2010-03-26,38.9982,-77.0338,Silver Spring,Maryland,US,85
CHRISTINE,MURRIN,29453,F,2010-04-06,35.1104,-106.5781,Albuquerque,New Mexico,US,17
BENJAMIN,BLUM,29473,M,2010-02-11,39.9539,-82.9301,Columbus,Ohio,US,44
JOHN,MINOR,29853,M,2010-07-11,32.8239,-117.1965,San Diego,California,US,100
CLIFFORD,JEFFERSON,30022,M,2/2/11,,,,,,
LARA,YOUNG,30059,F,12/9/11,,,,,,
LEE,KEYSER,30326,M,2010-05-05,39.7656,-104.7069,Aurora,Colorado,US,78
AARON,SOULE,30391,M,2010-04-27,-33.9778,18.6167,Delft,,ZA,17
GRETCHEN,PHILLIPS,30708,F,2010-07-15,39.8504,-74.9646,Voorhees,New Jersey,US,6
RHONDA,KANG,30892,F,12/19/11,,,,,,
CODY,HARRIS,30959,M,1/4/10,,,,,,
REBECCA,RODRIGUEZ,31019,F,2010-05-22,26.1656,-80.1118,Fort Lauderdale,Florida,US,90
FRANCISCO,SULLIVAN,31170,M,2010-02-21,42.3585,-71.058,Boston,Massachusetts,US,10
BETTY,SEDLACEK,31210,F,6/20/09,,,,,,
GLORIA,DIGIOVANNI,31551,F,2009-12-25,40.7368,-85.1622,Bluffton,Indiana,US,25
GERARD,LO,31788,M,2010-03-12,44.8811,-93.2207,Minneapolis,Minnesota,US,15
JOHN,WILLIAMS,31793,M,2010-09-30,37.7864,-122.3892,San Francisco,California,US,25
WENDY,NELSON,33124,F,2010-10-04,30.2713,-97.7426,Austin,Texas,US,25
KAY,LEWIS,33190,F,2010-08-11,39.7331,-104.9524,Denver,Colorado,US,75
BRYAN,ROEHL,33268,M,11/14/10,,,,,,
JAMES,FERNANDEZ,33526,M,2010-04-22,34.0183,-117.8546,Walnut,California,US,75
THEODORE,WASHINGTON,33675,M,7/26/09,,,,,,
PATRICIA,MCKINNEY,34342,F,2010-05-24,28.5419,-81.3791,Orlando,Florida,US,175
SHEENA,BARTON,34519,F,1/21/10,,,,,,
CONSTANCE,MORELAND,34639,F,7/18/09,,,,,,
AGNES,RAMIREZ,34961,F,2010-04-30,-26.1,27.9833,Randburg,,ZA,25
TIMOTHY,ROBINSON,35031,M,12/12/11,,,,,,
WILLIAM,MARLOW,35225,M,2009-12-16,40.7375,-73.9813,New York City,New York,US,47
CONSUELO,DENNISTON,35357,F,2010-07-31,35.9034,-78.7447,Raleigh,North Carolina,US,25
HAZEL,WRIGHT,35358,F,2/20/10,,,,,,
ANDREA,FERRARI,35626,F,2010-08-23,41.2405,-80.8441,Warren,Ohio,US,2
FRANCES,MORGAN,36378,F,2010-05-30,50.7333,-1.8667,Winton,England,GB,1
GUADALUPE,MATTHES,37731,M,1/27/10,,,,,,
CLAUDIA,BOYER,37819,F,5/14/09,,,,,,
WENDY,MATHIS,37917,F,2010-05-21,51.2167,4.4167,Antwerpen,Vlaanderen,BE,59
GARY,MARTINO,38329,M,2010-03-19,40.3563,-111.7325,Provo,Utah,US,24
SAUL,JAMES,38458,M,2010-10-06,-25.8333,28.25,Wingate Park,,ZA,22
RICKY,HEARD,38461,M,2010-04-07,-26.1345,28.0529,Bryanston,,ZA,7
DIANNE,GREEN,38682,F,2009-11-09,57.7072,11.9668,Göteborg,,SE,142
RHONDA,FRYAR,39296,F,2/13/10,,,,,,
OPAL,SLOAN,39299,F,2010-03-30,-26.05,27.9667,Sandton,,ZA,1
BARBARA,STEWART,39305,F,2010-03-14,-34.1333,18.4333,Fish Hoek,,ZA,29
TOMMY,MEDINA,39307,M,2009-12-27,-26.05,28.05,Rivonia,,ZA,234
JESSICA,CARLSON,39308,F,11/27/09,,,,,,
ALAN,BAXTER,39310,M,2009-12-05,37.6873,-121.8957,Pleasanton,California,US,146
KIMBERLY,ALEXANDER,39311,F,2010-01-07,-26.1667,27.9167,Florida,,ZA,575
JOSEPH,FRIED,39312,M,8/6/11,,,,,,
STEVE,WEATHERBY,39315,M,2010-02-07,-25.8333,28.25,Wingate Park,,ZA,11
GARY,LOPEZ,39320,M,2010-08-30,-33.9222,18.5222,Elsies River,,ZA,77
MARK,BELIN,39321,M,2010-06-07,-26.1,28.0556,Paulshof,,ZA,2
STEPANIE,JEFFRIES,39324,F,2009-11-24,-26.15,27.9833,Roosevelt Park,,ZA,379
EMILY,EGGERS,39325,F,3/25/11,,,,,,
GERALD,WINDOM,39378,M,2/21/11,,,,,,
LINDA,MUNOS,40395,F,8/13/11,,,,,,
RICHARD,WHITEHURST,40798,M,10/1/10,,,,,,
JEFFREY,BROWN,40857,M,2010-03-27,50.9039,-1.4043,Southampton,England,GB,4
PAULA,DOBBINS,40858,F,2010-10-04,53.4809,-2.2374,Manchester,England,GB,150
DAVID,FOSTER,40859,M,2010-02-21,30.2713,-97.7426,Austin,Texas,US,15
LILLY,VIERS,40860,F,2010-09-05,-34.0493,150.7986,Blairmount,New South Wales,AU,24
CHARLES,HANNAH,40861,M,2010-07-29,53.3947,-2.279,Baguley,England,GB,8
MILES,ARANA,40862,M,2010-07-09,53.4252,-2.3244,Ashton upon Mersey,England,GB,1
RIGOBERTO,ROSS,40863,M,2010-09-01,54.9,-1.5167,Washington,England,GB,10
TERRY,BRITTON,40864,M,2010-09-03,52.2893,-1.1498,Welton,England,GB,6
EMILY,SMITH,40865,F,2010-03-24,51.6167,-0.3167,Stanmore,England,GB,120
JASON,RODRIGUEZ,40866,M,2010-09-05,53.4252,-2.3244,Ashton upon Mersey,England,GB,4
VERNON,GERALD,41728,M,2010-09-15,33.5097,-112.0678,Phoenix,Arizona,US,50
ROBERT,DAVIS,42021,M,2009-10-30,59.3,18.05,Årsta,Stockholm,SE,206
JOSEPH,MARRERO,42494,M,2010-04-27,38.8976,-77.027,Washington,District of Columbia,US,50
LINDSEY,BLAKENEY,42671,F,2010-07-23,38.9327,-77.0322,Washington,District of Columbia,US,50
STEVEN,PARKER,42714,M,2010-03-08,33.6686,-117.8386,Aliso Viejo,California,US,103
DOUGLAS,JOHNSTON,42948,M,2010-02-05,39.9671,-83.0044,Columbus,Ohio,US,75
BARBARA,YOUNG,42995,F,2010-04-16,51.2,4.4333,Antwerpen Berchem,Vlaanderen,BE,134
JUSTIN,ROBERTS,43334,M,3/5/09,,,,,,
TAMMY,FLEMING,43932,F,2010-06-10,38.8994,-77.1895,Falls Church,Virginia,US,50
JOSE,MYERS,44621,M,3/12/10,,,,,,
MOLLIE,STAPLES,44622,F,5/3/10,,,,,,
WILLIAM,TARR,44625,M,2010-04-09,-26.0333,27.9833,Four Ways,,ZA,50
SUSAN,MOORE,45536,F,9/9/09,,,,,,
JULIE,CARR,45620,F,4/27/09,,,,,,
JOHN,HANSON,45687,M,2010-03-06,-25.9833,28.1167,Noordwyk,,ZA,66
ANNA,FELICIANO,45819,F,2010-03-23,30.3354,-97.5598,Austin,Texas,US,13
THOMAS,NOBLES,45823,M,5/25/10,,,,,,
WILLIE,FENDER,46203,M,2010-03-22,32.4682,-99.7182,Abilene,Texas,US,96
CHRISTINA,ONEILL,46331,F,12/25/10,,,,,,
ELEANOR,STEWART,46399,F,2010-01-26,40.6197,-106.8607,Steamboat Springs,Colorado,US,24
JOYCE,AIKEN,46491,F,3/29/09,,,,,,
WILLIAM,LYLE,46997,M,2010-05-19,28.6659,-81.4027,Altamonte Springs,Florida,US,25
NOVA,MOORE,47299,F,5/28/09,,,,,,
RHONDA,SALAZAR,47314,F,2010-07-03,33.3213,-111.8888,Chandler,Arizona,US,25
ANNE,LEVESQUE,49769,F,2010-02-01,41.9543,-87.6575,Chicago,Illinois,US,117
SANDRA,ATKINS,49865,F,2010-02-02,39.9874,-83.0456,Columbus,Ohio,US,1027
BRADLEY,MUSICK,50082,M,12/15/09,,,,,,
PATRICIA,MAXWELL,51567,F,2010-05-28,51.5166,-0.1308,Tottenham Court Road,England,GB,75
DANNY,CONTRERAS,51572,M,2010-06-22,27.9845,-82.463,Tampa,Florida,US,39
RACHEL,CORNELIUS,51611,F,2/12/09,,,,,,
FAITH,HARGROVE,51670,F,1/15/09,,,,,,
GINA,BRITTAIN,52167,F,12/21/09,,,,,,
CHANEL,LEWIS,52288,F,4/6/11,,,,,,
WALTER,SCOTT,52602,M,3/1/10,,,,,,
JOAN,WINSLOW,52708,F,11/20/10,,,,,,
JOEL,LEWIS,52940,M,2010-03-21,37.7455,-87.1128,Curdsville,Kentucky,US,28
RONALD,SEAY,54065,M,2010-03-12,30.2713,-97.7426,Austin,Texas,US,23
KATRINA,BIGGINS,54079,F,2009-12-23,27.9425,-82.5057,Tampa,Florida,US,50
CATHERINE,DILLOW,55164,F,9/8/09,,,,,,
MARIA,THOMPSON,55798,F,2010-01-25,59.3326,18.0649,Stockholm,,SE,60
BRYAN,FITZGERALD,56341,M,2010-03-11,42.8802,-85.5352,Grand Rapids,Michigan,US,14
JOSEPH,CAHOON,56809,M,12/2/10,,,,,,
JUAN,MILLER,57697,M,8/31/10,,,,,,
NELDA,CROSS,58076,F,10/26/11,,,,,,
KIRK,WELSH,58077,M,6/21/09,,,,,,
KATHERINE,MILLER,59291,F,11/3/10,,,,,,
CARRIE,NORMAN,59982,F,2010-01-03,29.6515,-82.3493,Gainesville,Florida,US,57
FLORENCE,ARNOLD,60146,F,2/16/09,,,,,,
JOE,DANIELS,61089,M,2010-03-27,44.9682,-93.2429,Minneapolis,Minnesota,US,16
ANNA,HICKMAN,62715,F,5/17/10,,,,,,
RICHARD,DODD,62941,M,11/29/09,,,,,,
KATHRYN,BOHANNON,63163,F,2010-05-06,33.3291,-111.9943,Phoenix,Arizona,US,21
VIRGINIA,LUMPKIN,63511,F,7/12/10,,,,,,
MARYANN,GRIMSLEY,63566,F,2010-07-22,30.2713,-97.7426,Austin,Texas,US,5
LARRY,REYNA,65131,M,2010-08-29,38.0612,-84.4583,Lexington,Kentucky,US,10
SHARON,JONES,65132,F,2/15/09,,,,,,
JANET,MCGRAW,65266,F,3/11/09,,,,,,
JAMES,EVERETT,65601,M,6/16/11,,,,,,
LAURA,PAPINEAU,65804,F,5/20/10,,,,,,
LEROY,MCNAMARA,66789,M,2010-02-15,41.3087,-72.9271,New Haven,Connecticut,US,98
ROBERT,ENGELS,66958,M,7/18/11,,,,,,
LAURA,JONES,66961,F,6/17/11,,,,,,
KRISTIN,SIMMS,67713,F,2009-12-19,30.43,-97.8326,Austin,Texas,US,4
JORDAN,BISHOP,67788,M,5/27/11,,,,,,
JANE,HARTFORD,67895,F,2010-07-02,-26.1222,28.2056,Gauteng,,ZA,28
BILL,REEVES,68410,M,2010-03-12,28.2061,-80.685,Melbourne,Florida,US,75
JIM,ADAMS,68811,M,2010-03-25,37.3179,-121.9349,San Jose,California,US,17
ROY,BASS,68812,M,9/24/11,,,,,,
HEATHER,MITCHELL,68813,F,7/22/09,,,,,,
NORA,SANCHES,68814,F,4/28/10,,,,,,
BRIAN,PUTNAM,68815,M,2009-12-10,37.7812,-122.4614,San Francisco,California,US,79
JAMES,GREEN,68816,M,2010-01-30,37.7974,-122.4001,San Francisco,California,US,2
MARY,HALL,68817,F,6/16/09,,,,,,
BRUCE,PARKER,68818,M,2/24/09,,,,,,
MELISSA,POTTER,68819,F,2010-03-12,37.3814,-122.1258,Los Altos,California,US,13
MONICA,ONEILL,68820,F,2/19/11,,,,,,
TERRY,SUTHERLAND,68821,M,12/25/10,,,,,,
EDWIN,SNIDER,68822,M,11/5/11,,,,,,
ROBERT,EDWARDS,68823,M,6/27/09,,,,,,
SUSANNAH,OWENS,68824,F,4/3/10,,,,,,
CHRISTOPHER,ORTEGA,68825,M,2010-04-11,38.82,-77.0589,Alexandria,Virginia,US,1
FRANCES,DIAZ,68826,F,7/23/09,,,,,,
FRANCES,METZINGER,69137,F,2010-03-19,44.6483,-73.1317,Milton,Vermont,US,68
LADONNA,BERRY,69371,F,2010-03-28,30.2713,-97.7426,Austin,Texas,US,25
MARK,ASH,69396,M,5/15/09,,,,,,
JOHN,SCHWEIGERT,70204,M,3/31/11,,,,,,
HOWARD,JACKSON,70757,M,10/21/11,,,,,,
SHEILA,STAPLETON,70914,F,2010-02-18,40.4584,-80.2649,Imperial,Pennsylvania,US,74
KRISTINA,VEGA,71773,F,2009-12-19,30.3223,-97.739,Austin,Texas,US,6
CHARLES,PECK,72073,M,2010-02-25,28.6666,-81.365,Altamonte Springs,Florida,US,88
KAREN,HOULE,72296,F,2010-03-24,28.6659,-81.4027,Altamonte Springs,Florida,US,23
YVONNE,ATKINS,72300,F,1/12/11,,,,,,
